city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
gornopravdinsk,60.05,69.9,53.46,73,5,5.57,1627441622,RU
padang,-0.9492,100.3543,84.02,71,86,3.31,1627441622,ID
saint-pierre,-21.3393,55.4781,67.68,85,90,19.57,1627441622,RE
port hedland,-20.3167,118.5667,80.65,57,26,5.75,1627441623,AU
talara,-4.5772,-81.2719,68.32,87,69,16.02,1627441623,PE
tongzi,28.7829,105.0877,86.4,66,6,2.26,1627441623,CN
grindavik,63.8424,-22.4338,50.56,93,0,13.8,1627441624,IS
tirukkoyilur,11.95,79.2,85.68,53,100,8.37,1627441624,IN
sorong,-0.8833,131.25,87.26,63,100,1.74,1627441624,ID
pochutla,15.7432,-96.4661,79.83,91,96,3.69,1627441624,MX
roma,43.2128,-75.4557,67.39,93,90,3.44,1627441625,US
kruisfontein,-34.0033,24.7314,52.88,86,26,12.77,1627441398,ZA
cidreira,-30.1811,-50.2056,46.4,59,4,17.81,1627441397,BR
shenjiamen,29.9576,122.298,79.88,89,100,14.56,1627441625,CN
sitka,57.0531,-135.33,60.69,77,75,4.61,1627441626,US
vardo,70.3705,31.1107,46.6,86,97,13.94,1627441360,NO
bataipora,-22.2953,-53.2711,55.45,44,97,9.86,1627441405,BR
marawi,7.9986,124.2928,84.65,53,90,7.49,1627441626,PH
imbituba,-28.24,-48.6703,53.49,67,24,15.9,1627441626,BR
leningradskiy,69.3833,178.4167,33.73,98,100,9.98,1627441627,RU
provideniya,64.3833,-173.3,50.11,81,90,22.37,1627441492,RU
mahajanga,-15.7167,46.3167,66.22,72,20,5.75,1627441627,MG
bambous virieux,-20.3428,57.7575,68.25,94,75,14.97,1627441627,MU
esperance,-33.8667,121.9,58.64,52,3,18.57,1627441627,AU
joshimath,30.5667,79.5667,76.86,85,99,3.58,1627441628,IN
strezhevoy,60.7333,77.5889,58.98,71,40,7.76,1627441628,RU
gornoye loo,43.7129,39.6049,65.98,69,18,4.74,1627441628,RU
lebu,-37.6167,-73.65,45.07,81,0,19.69,1627441485,CL
sokolovo,52.5318,84.7896,66.52,54,1,1.83,1627441629,RU
siavonga,-16.5382,28.7088,55.42,57,1,2.91,1627441629,ZM
paamiut,61.994,-49.6678,44.28,82,71,14.05,1627441629,GL
burla,21.5,83.8667,77.74,94,100,7.27,1627441630,IN
nanortalik,60.1432,-45.2371,43.97,84,100,3.96,1627441613,GL
acapulco,16.8634,-99.8901,80.64,81,67,3.31,1627441570,MX
erenhot,43.6475,111.9767,77.41,42,100,12.66,1627441630,CN
hokitika,-42.7167,170.9667,53.08,86,100,5.03,1627441345,NZ
fortuna,40.5982,-124.1573,75.47,92,90,4.61,1627441630,US
kamenka,51.3223,42.7678,65.17,72,8,3.06,1627441631,RU
hauge,58.3436,6.2812,64.58,93,98,7.85,1627441631,NO
souillac,-20.5167,57.5167,68.38,94,75,14.97,1627441631,MU
inirida,3.8653,-67.9239,72.73,99,100,2.93,1627441631,CO
oda,35.1833,132.5,81.41,65,34,8.32,1627441632,JP
port macquarie,-31.4333,152.9167,79.9,39,2,9.75,1627441632,AU
somvarpet,12.6,75.8667,67.17,88,100,8.3,1627441632,IN
asosa,10.0667,34.5333,58.57,90,100,3.2,1627441632,ET
ponca city,36.707,-97.0856,85.96,74,1,5.75,1627441633,US
vila franca do campo,37.7167,-25.4333,68.41,89,11,7.43,1627441633,PT
kahului,20.8947,-156.47,81.97,90,100,14,1627441416,US
skjervoy,70.0311,20.9714,49.24,91,80,3.83,1627441362,NO
san ignacio,17.1561,-89.0714,80.74,78,20,0,1627441633,BZ
abu samrah,35.3029,37.1841,76.6,48,0,9.26,1627441634,SY
port alfred,-33.5906,26.891,60.28,83,11,14.32,1627441580,ZA
coquimbo,-29.9533,-71.3436,53.92,74,0,1.3,1627441396,CL
los llanos de aridane,28.6585,-17.9182,69.55,83,90,16.11,1627441634,ES
geraldton,-28.7667,114.6,67.12,68,90,6.91,1627441634,AU
tuktoyaktuk,69.4541,-133.0374,44.76,91,100,11.86,1627441635,CA
sorland,67.667,12.6934,55.63,88,8,10.27,1627441564,NO
saldanha,-33.0117,17.9442,55.13,65,100,5.46,1627441635,ZA
itarema,-2.9248,-39.9167,77.61,83,15,14.32,1627441635,BR
katsuura,35.1333,140.3,86.14,76,100,19.1,1627441428,JP
khandyga,62.6667,135.6,70.74,37,53,13.2,1627441636,RU
buin,-33.7333,-70.75,51.73,40,0,4.25,1627441636,CL
arandis,-22.4167,14.9667,48.47,26,0,8.23,1627441636,NA
plettenberg bay,-34.0527,23.3716,55.78,83,100,10.13,1627441637,ZA
cape town,-33.9258,18.4232,52.12,87,20,3.44,1627441371,ZA
anchorage,61.2181,-149.9003,67.42,73,75,1.01,1627441637,US
sakakah,29.9697,40.2064,85.66,27,0,5.86,1627441411,SA
trairi,-3.2778,-39.2689,76.91,86,9,9.37,1627441379,BR
kaili,-3.4626,120.2147,79.05,59,50,4.97,1627441637,ID
tual,-5.6667,132.75,80.8,81,100,12.82,1627441638,ID
ravar,31.2656,56.8055,80.78,13,6,9.4,1627441638,IR
thompson,55.7435,-97.8558,65.61,61,95,9.42,1627441352,CA
trincomalee,8.5711,81.2335,83.39,73,100,20.33,1627441638,LK
ponta do sol,32.6667,-17.1,70.72,77,3,3.98,1627441638,PT
severo-kurilsk,50.6789,156.125,59.94,88,100,6.98,1627441367,RU
nikolskoye,59.7035,30.7861,67.8,68,100,4.79,1627441639,RU
monrovia,6.3005,-10.7969,76.3,79,100,10.07,1627441639,LR
peniche,39.3558,-9.3811,66.72,90,0,18.81,1627441639,PT
shahreza,32.0339,51.8794,75.69,26,0,1.74,1627441640,IR
san bartolome de tirajana,27.9248,-15.5733,61.32,79,75,23.02,1627441640,ES
vila velha,-20.3297,-40.2925,73.35,78,0,6.91,1627441640,BR
victoria,22.2855,114.1577,91.45,79,99,7,1627441537,HK
narsaq,60.9167,-46.05,44.82,73,100,3.94,1627441641,GL
caiaponia,-16.9567,-51.8103,70.14,41,57,3.67,1627441641,BR
brigantine,39.4101,-74.3646,80.02,89,1,0,1627441641,US
ewa beach,21.3156,-158.0072,87.75,57,40,9.22,1627441641,US
cap-aux-meules,47.3821,-61.8597,63.12,89,100,7.67,1627441642,CA
namibe,-15.1961,12.1522,64.45,83,0,5.68,1627441642,AO
saint george,37.1041,-113.5841,93.63,31,1,5.01,1627441531,US
dikson,73.5069,80.5464,37.31,99,100,12.08,1627441642,RU
cuyali,13.8833,-86.55,67.17,97,93,3.13,1627441643,HN
charters towers,-20.1,146.2667,79.27,40,7,7,1627441643,AU
hobart,-42.8794,147.3294,56.26,59,75,5.01,1627441643,AU
port elizabeth,-33.918,25.5701,55.09,80,27,14.92,1627441364,ZA
mar del plata,-38.0023,-57.5575,46.13,68,96,10,1627441628,AR
jamestown,42.097,-79.2353,69.39,86,1,1.99,1627441644,US
terdal,16.5,75.05,75.27,75,100,16.6,1627441644,IN
conselice,44.5119,11.8312,74.64,84,1,1.81,1627441644,IT
dingle,10.9995,122.6711,87.33,65,76,17.45,1627441591,PH
huilong,31.8111,121.655,84.04,94,100,21.92,1627441644,CN
ozernovskiy,51.5,156.5167,55.13,96,100,3.96,1627441645,RU
kavieng,-2.5744,150.7967,84.09,73,13,7.09,1627441645,PG
alikalia,9.1667,-11.4,70.09,99,100,2.86,1627441645,SL
aklavik,68.2191,-135.0107,61.52,66,99,5.53,1627441646,CA
port-gentil,-0.7193,8.7815,75.25,80,33,9.73,1627441470,GA
panguna,-6.3164,155.4848,78.75,72,88,3.2,1627441646,PG
new norfolk,-42.7826,147.0587,55.92,63,53,5.01,1627441646,AU
isangel,-19.55,169.2667,74.55,57,2,14.52,1627441647,VU
kampene,-3.6,26.6667,71.8,49,97,1.95,1627441647,CD
katobu,-4.9408,122.5276,84.07,69,74,6.76,1627441647,ID
atuona,-9.8,-139.0333,77.83,71,1,17.92,1627441647,PF
tura,25.5198,90.2201,80.98,88,96,4.29,1627441648,IN
muisne,0.6,-80.0333,75.47,86,100,6.06,1627441648,EC
constitucion,-35.3333,-72.4167,44.65,78,0,7.23,1627441556,CL
lagoa,39.05,-27.9833,69.8,91,90,7.43,1627441433,PT
turukhansk,65.8167,87.9833,53.24,91,100,6.93,1627441509,RU
muzhi,65.3667,64.6667,49.23,73,45,7.05,1627441649,RU
cabo san lucas,22.8909,-109.9124,87.1,74,7,8.01,1627441616,MX
carnarvon,-24.8667,113.6333,69.87,54,90,10.36,1627441649,AU
faanui,-16.4833,-151.75,77.81,75,63,8.3,1627441649,PF
xiaoyi,34.6178,109.703,83.82,48,98,4.34,1627441649,CN
rikitea,-23.1203,-134.9692,74.21,79,100,15.3,1627441650,PF
georgetown,5.4112,100.3354,87.73,70,20,4.61,1627441650,MY
bluff,-46.6,168.3333,52.81,70,32,6.6,1627441650,NZ
shubarshi,48.5872,57.1869,72.09,32,100,15.19,1627441651,KZ
houma,29.5958,-90.7195,86,82,3,3,1627441456,US
hermanus,-34.4187,19.2345,51.91,66,99,12.21,1627441651,ZA
vostok,46.4856,135.8833,87.28,57,73,0.85,1627441651,RU
ilhabela,-23.7781,-45.3581,67.64,88,85,9.04,1627441651,BR
edea,3.8,10.1333,71.11,98,99,0.89,1627441652,CM
ha tinh,18.3333,105.9,90.43,58,100,7.74,1627441407,VN
marion,39.7684,-86.1555,77.92,84,1,3.44,1627441608,US
broome,42.2506,-75.833,67.55,97,90,1.01,1627441563,US
sal rei,16.1833,-22.9167,75.76,80,100,11.61,1627441652,CV
iqaluit,63.7506,-68.5145,43.7,75,100,8.99,1627441559,CA
preobrazheniye,42.9019,133.9064,81.52,67,7,6.71,1627441653,RU
puerto ayora,-0.7393,-90.3518,71.38,84,20,8.84,1627441569,EC
faridpur,23.6,89.8333,84.2,92,100,6.8,1627441653,BD
tevaitoa,-16.7833,-151.5,77.67,76,29,10.07,1627441653,PF
alberton,46.8168,-64.0654,62.29,74,99,13.73,1627441653,CA
jalna,19.8333,75.8833,75.72,77,96,15.21,1627441654,IN
laguna,38.421,-121.4238,90.43,36,1,5.01,1627441654,US
avarua,-21.2078,-159.775,77.05,65,21,4.61,1627441372,CK
khani,41.9563,42.9566,62.17,93,96,2.42,1627441654,GE
buala,-8.145,159.5921,83.64,73,93,9.31,1627441626,SB
ko samui,9.5357,99.9357,83.5,77,59,24.65,1627441655,TH
torbay,47.6666,-52.7314,65.68,96,100,10.92,1627441655,CA
rosarito,32.3333,-117.0333,78.08,78,14,8.52,1627441655,MX
vaini,-21.2,-175.2,69.96,78,75,10.36,1627441656,TO
sept-iles,50.2001,-66.3821,59.05,79,100,1.99,1627441525,CA
manaus,-3.1019,-60.025,82.89,78,0,3.44,1627441656,BR
kourou,5.1552,-52.6478,82.11,88,10,5.79,1627441656,GF
port lincoln,-34.7333,135.8667,56.62,56,19,24,1627441656,AU
bethel,41.3712,-73.414,75.11,86,90,0,1627441463,US
kroya,-7.6331,109.2461,81.19,68,77,11.05,1627441657,ID
rognan,67.0953,15.3878,64.89,77,0,6.42,1627441657,NO
bredasdorp,-34.5322,20.0403,49.28,63,100,9.78,1627441441,ZA
lima,-12.0432,-77.0282,60.13,94,90,13.8,1627441495,PE
los algarrobos,8.5,-82.4333,78.46,91,100,1.95,1627441657,PA
hilo,19.7297,-155.09,80.33,83,40,9.22,1627441507,US
barrow,71.2906,-156.7887,42.82,91,90,19.57,1627441658,US
mataura,-46.1927,168.8643,52.48,79,79,1.45,1627441369,NZ
najran,17.4924,44.1277,79.05,58,22,8.28,1627441658,SA
hamilton,39.1834,-84.5333,76.35,82,1,0,1627441574,US
rawson,-43.3002,-65.1023,41.25,67,23,11.23,1627441659,AR
hithadhoo,-0.6,73.0833,80.74,78,61,9.01,1627441417,MV
aasiaat,68.7098,-52.8699,40.93,84,100,6.38,1627441391,GL
yellowknife,62.456,-114.3525,61.29,48,57,8.99,1627441636,CA
tiksi,71.6872,128.8694,41.74,80,15,14.43,1627441425,RU
talnakh,69.4865,88.3972,61.65,86,96,4.45,1627441659,RU
castro,-24.7911,-50.0119,46.02,91,100,7.02,1627441659,BR
ust-kuyga,70.0167,135.6,56.05,46,5,14.52,1627441660,RU
chokurdakh,70.6333,147.9167,50.61,44,55,13.98,1627441388,RU
kapaa,22.0752,-159.319,82.72,77,40,3,1627441660,US
punta arenas,-53.15,-70.9167,44.71,81,75,18.41,1627441660,CL
dobryatino,55.5055,41.3195,62.42,75,40,2.98,1627441661,RU
ushuaia,-54.8,-68.3,38.86,93,75,3.44,1627441661,AR
chuy,-33.6971,-53.4616,43.18,73,49,16.15,1627441608,UY
ancud,-41.8697,-73.8203,42.33,86,71,3.51,1627441661,CL
busselton,-33.65,115.3333,59.04,68,46,19.93,1627441661,AU
nouadhibou,20.931,-17.0347,68.13,91,16,24.61,1627441385,MR
half moon bay,37.4636,-122.4286,81.72,74,20,17.27,1627441518,US
butaritari,3.0707,172.7902,81.66,72,100,4.5,1627441662,KI
east london,-33.0153,27.9116,63.9,80,0,12.73,1627441662,ZA
klaksvik,62.2266,-6.589,50.92,96,99,4.61,1627441662,FO
