,city,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
97,marsa matruh,31.3525,27.2453,298.26,73,40,5.14,1627341630
98,avera,33.194,-82.5271,309.21,49,11,2.57,1627341461
99,palu,-0.8917,119.8707,297.94,89,62,1.39,1627341630
100,karoi,-16.8099,29.6925,281.09,78,2,2.14,1627341631
101,tambacounda,13.7539,-13.7586,302.18,74,0,2.06,1627341631
102,el faiyum,,,,,,,
103,rumphi,-11.0186,33.8575,282.98,80,7,1.27,1627341631
104,kundiawa,-6.0167,144.9667,294.18,80,100,0.09,1627341632
105,dingle,10.9995,122.6711,300.08,85,100,5.45,1627341632
106,adrar,20.5022,-10.0711,307.14,17,2,7.11,1627341632
107,kautokeino,69.0125,23.0412,284.37,87,29,2.49,1627341632
108,lexington,37.9887,-84.4777,304.77,51,75,0.89,1627341514
109,sadowara,,,,,,,
110,teya,60.3778,92.6267,292.59,69,89,1.47,1627341530
111,vilcun,-38.65,-72.2333,275.56,83,100,1.06,1627341633
112,auki,-8.7676,160.7034,301.21,71,91,2.36,1627341633
113,tonantins,-2.8731,-67.8022,298.52,87,98,1.33,1627341634
114,port moresby,-9.4431,147.1797,300.83,69,75,5.14,1627341634
115,play cu,,,,,,,
116,alyangula,-13.8483,136.4192,294.08,100,90,3.09,1627341634
117,muscat,23.6139,58.5922,308.16,49,76,1.75,1627341634
118,pingdingshan,33.7385,113.3012,299.92,80,20,1.71,1627341635
119,verkh-usugli,52.7,115.1667,287.38,87,62,1.68,1627341635
120,yerbogachen,61.2767,108.0108,295,64,58,2.21,1627341635
121,ialibu,-6.2821,143.9935,290.25,80,92,1.06,1627341635
122,polunochnoye,60.8697,60.4153,284.73,83,84,2.71,1627341636
123,conceicao da barra,-18.5933,-39.7322,295.9,74,45,2.77,1627341636
124,axim,4.8699,-2.2405,297.89,74,93,4.51,1627341636
125,saurimo,-9.6608,20.3916,286.42,34,90,2.5,1627341637
126,ugoofaaru,5.6667,73,300.97,77,100,5.7,1627341637
127,homer,59.6425,-151.5483,292.08,81,40,7.2,1627341637
128,callaguip,18.0714,120.4867,300.96,86,100,10.81,1627341637
129,bur gabo,,,,,,,
130,lewistown,40.5992,-77.5714,304.86,52,1,1.54,1627341638
131,cedar city,37.6775,-113.0619,292.69,68,90,3.6,1627341392
132,imeni poliny osipenko,52.4201,136.4853,291.69,99,100,2.71,1627341638
133,panzhihua,26.5851,101.7128,293.59,93,94,0.8,1627341638
134,dauphin,51.1494,-100.0502,298.23,57,1,1.03,1627341639
135,mana,5.6592,-53.7767,298.92,84,31,2.92,1627341639
136,sayla,22.55,71.4667,299.38,86,100,6.19,1627341639
137,college,64.8569,-147.8028,295.33,48,75,5.66,1627341639
138,shenjiamen,29.9576,122.298,299.07,92,100,12.65,1627341640
139,hit,33.6416,42.8251,310.62,18,1,3.75,1627341640
140,westport,41.1415,-73.3579,304.05,55,1,1.34,1627341640
141,jumla,29.2747,82.1838,291.32,98,100,0.54,1627341640
142,kakonko,-3.2828,30.9642,290.52,41,41,1.14,1627341641
143,anage,-14.6122,-41.1356,293.85,70,46,2.55,1627341641
144,kavaratti,10.5669,72.642,300.47,80,100,8.59,1627341641
145,jiddah,,,,,,,
146,norsup,-16.0667,167.3833,299.6,78,82,6.33,1627341642
147,srednekolymsk,67.45,153.6833,283.07,57,77,6.5,1627341642
148,buraydah,26.326,43.975,309.4,15,43,5.7,1627341642
149,saint-augustin,51.226,-58.6502,290.18,81,98,3.9,1627341642
150,mapiripan,2.8892,-72.1256,296.91,94,59,1.53,1627341643
151,ormara,25.2088,64.6357,300.71,86,99,4.53,1627341643
152,salinopolis,-0.6136,-47.3561,299.35,80,46,4.63,1627341643
153,tir pol,,,,,,,
154,andenes,69.3143,16.1194,286.19,100,90,3.6,1627341540
155,maloshuyka,,,,,,,
156,necochea,-38.5473,-58.7368,278.73,63,59,9.33,1627341644
157,dhidhdhoo,6.8833,73.1,300.74,77,100,5.97,1627341644
158,buchach,49.0625,25.388,291.3,83,72,3.31,1627341644
159,ampanihy,-24.7,44.75,289.47,68,67,7.07,1627341645
160,jalu,29.0331,21.5482,300.24,42,0,4.02,1627341645
161,tingi,-11.3,35.0333,283.65,88,16,0.53,1627341645
162,harper,4.375,-7.7169,297.72,77,95,4.49,1627341645
163,bud,39.447,-86.1758,304.22,51,0,2.38,1627341646
164,mazamari,-11.3258,-74.5308,297.71,65,24,0.22,1627341646
165,bitkine,11.9801,18.2138,296.72,86,89,1.57,1627341646
166,kristiinankaupunki,62.2743,21.376,289.57,70,50,2.04,1627341646
167,kulhudhuffushi,6.6221,73.07,300.79,77,100,6.01,1627341647
168,vagay,57.9375,69.0217,285.05,75,66,2.03,1627341647
169,bonito,-21.1211,-56.4819,298.14,39,22,1.95,1627341647
170,vao,-22.6667,167.4833,293.19,60,100,7.47,1627341648
